structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,donor,sample,name,parent_structure_id,hemisphere,graph_order,structure_id_path,color_hex_triplet
4224,5,127687007,CX,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",123644654,95,89,71,-4,20,20,donor15496,donor15496_sample_8,"cingulate gyrus, frontal part, left, inferior bank of gyrus",4222,L,103,/4005/4006/4007/4008/4219/4220/4221/4222/4224/,7F5B33
4178,5,127687057,CX,PLP,"planum polare, left",123636950,143,122,74,-52,17,-13,donor15496,donor15496_sample_9,"planum polare, left",4177,L,287,/4005/4006/4007/4008/4132/4177/4178/,FF937F
4898,2,127687001,CX,SRoG,"superior rostral gyrus, left",121081990,95,123,31,-4,60,-14,donor15496,donor15496_sample_10,"superior rostral gyrus, left",4897,L,89,/4005/4006/4007/4008/4009/4897/4898/,E8DB59
4060,2,127687065,CX,LOrG,"lateral orbital gyrus, left",121112951,128,117,32,-37,59,-8,donor15496,donor15496_sample_11,"lateral orbital gyrus, left",4059,L,39,/4005/4006/4007/4008/4009/4059/4060/,E8CA59
4194,14,141667185,CX,LiG-str,"lingual gyrus, left, striate",127563328,100,129,177,-9,-86,-20,donor15496,donor15496_sample_12,"lingual gyrus, left, striate",4192,L,182,/4005/4006/4007/4008/4180/4191/4192/4194/,E88051
4193,14,141667169,CX,LiG-pest,"lingual gyrus, left, peristriate",127563329,113,125,176,-22,-85,-16,donor15496,donor15496_sample_13,"lingual gyrus, left, peristriate",4192,L,181,/4005/4006/4007/4008/4180/4191/4192/4193/,E88051
4187,14,141667153,CX,Cun-str,"cuneus, left, striate",127563327,98,110,176,-7,-85,-1,donor15496,donor15496_sample_14,"cuneus, left, striate",4185,L,168,/4005/4006/4007/4008/4180/4184/4185/4187/,E87751
4186,14,141667137,CX,Cun-pest,"cuneus, left, peristriate",127563326,98,99,177,-7,-86,10,donor15496,donor15496_sample_15,"cuneus, left, peristriate",4185,L,167,/4005/4006/4007/4008/4180/4184/4185/4186/,E87751
4120,13,141667229,CX,Pcu-s,"precuneus, left, superior lateral bank of gyrus",127562782,93,59,166,-2,-75,50,donor15496,donor15496_sample_16,"precuneus, left, superior lateral bank of gyrus",4119,L,245,/4005/4006/4007/4008/4084/4118/4119/4120/,FF7462
4113,13,141667103,CX,AnG-s,"angular gyrus, left, superior bank of gyrus",127562530,122,60,167,-31,-76,49,donor15496,donor15496_sample_17,"angular gyrus, left, superior bank of gyrus",4112,L,213,/4005/4006/4007/4008/4084/4103/4111/4112/4113/,FF5D62
4194,13,141667199,CX,LiG-str,"lingual gyrus, left, striate",127562687,101,107,166,-10,-75,2,donor15496,donor15496_sample_18,"lingual gyrus, left, striate",4192,L,182,/4005/4006/4007/4008/4180/4191/4192/4194/,E88051
4193,13,141667183,CX,LiG-pest,"lingual gyrus, left, peristriate",127562688,110,109,166,-19,-75,0,donor15496,donor15496_sample_19,"lingual gyrus, left, peristriate",4192,L,181,/4005/4006/4007/4008/4180/4191/4192/4193/,E88051
4208,13,141667263,CX,IOG-i,"inferior occipital gyrus, left, inferior bank of gyrus",127562732,144,116,170,-53,-79,-7,donor15496,donor15496_sample_20,"inferior occipital gyrus, left, inferior bank of gyrus",4206,L,175,/4005/4006/4007/4008/4180/4205/4206/4208/,E87B51
